Subject,Repetition,Parameter,Accumbens,Amygdala,Caudate,Cerebellum White Matter,Cerebral White Matter,Hippocampus,Pallidum,Putamen,Thalamus Proper,Ventral DC,Basal Forebrain,ACgG anterior cingulate gyrus,AIns anterior insula,AOrG anterior orbital gyrus,AnG angular gyrus,Calc calcarine cortex,CO central operculum,Cun cuneus,Ent entorhinal area,FO frontal operculum,FRP frontal pole,FuG fusiform gyrus,GRe gyrus rectus,IOG inferior occipital gyrus,ITG inferior temporal gyrus,LiG lingual gyrus,LOrG lateral orbital gyrus,MCgG middle cingulate gyrus,MFC medial frontal cortex,MFG middle frontal gyrus,MOG middle occipital gyrus,MOrG medial orbital gyrus,MPoG postcentral gyrus medial segment,MPrG precentral gyrus medial segment,MSFG superior frontal gyrus medial segment,MTG middle temporal gyrus,OCP occipital pole,OFuG occipital fusiform gyrus,OpIFG opercular part of the inferior frontal gyrus,OrIFG orbital part of the inferior frontal gyrus,PCgG posterior cingulate gyrus,PCu precuneus,PHG parahippocampal gyrus,PIns posterior insula,PO parietal operculum,PoG postcentral gyrus,POrG posterior orbital gyrus,PP planum polare,PrG precentral gyrus,PT planum temporale,SCA subcallosal area,SFG superior frontal gyrus,SMC supplementary motor cortex,SMG supramarginal gyrus,SOG superior occipital gyrus,SPL superior parietal lobule,STG superior temporal gyrus,TMP temporal pole,TrIFG triangular part of the inferior frontal gyrus,TTG transverse temporal gyrus
Sub-05,2,MT,1.945282323,1.813693558,2.24220648,3.012253946,3.307720048,1.746604777,2.847147787,2.20237229,2.456525722,2.579721317,1.925137952,2.016672909,1.843814048,2.034369237,2.238260613,2.052429311,1.796957787,2.173663118,1.760697701,1.570416509,1.667848759,1.870658829,2.056046276,2.366686363,2.057515782,1.786175485,1.941775211,1.945801517,1.921125167,1.996115091,2.312507203,1.91552831,1.457475271,1.27393241,1.721170682,2.210050342,2.52075002,2.292947833,2.104203231,1.918459617,1.887113112,1.808143986,1.534709191,1.859791285,1.795950559,2.019767991,2.010616157,1.664132762,2.066818325,2.177606854,1.796635423,2.042874688,1.849653032,2.10497765,2.051750434,1.71325163,2.131498903,1.746349181,2.034219626,1.748509452
Sub-06,2,MT,1.996351944,1.85288655,2.276798372,3.158478867,3.405127365,1.822401902,3.05756562,2.355773724,2.601559164,2.860578099,1.763124346,2.015626382,1.781819614,1.936357252,2.123152465,2.475393115,1.986321286,2.310841371,1.859522274,1.986006225,1.469200382,2.02762459,2.232189568,2.2303107,2.239610744,1.51822002,1.597739499,2.154902223,2.125279338,2.042678207,2.131136437,2.203927915,2.591420252,2.297916502,2.161214985,2.097291063,2.306634746,1.555529066,2.089068956,2.027318563,2.287631247,2.20039056,1.786532384,1.971007343,2.446489995,2.126801853,1.771317428,2.059470318,2.163601077,2.479154795,1.785072054,2.12786834,2.393365908,1.888229311,2.536175163,1.947836533,1.932093252,1.699972547,1.938286126,2.379783646
Sub-01,3,MT,1.977879337,1.906258926,2.250942508,3.061298166,3.373978978,1.80656983,2.980685078,2.36220743,2.730780715,2.833985878,1.924998835,1.929879114,1.699307819,2.16343404,2.117189838,2.199624894,1.93415961,2.086018993,1.751841663,1.9734137,1.840382714,2.148328319,2.177605055,2.40955819,2.143951779,2.027472302,2.152502738,1.964330391,2.101926643,2.175827862,2.23989937,2.206326849,1.837517807,2.054098415,2.185716451,2.14643777,2.479295778,2.446753414,2.20044286,2.502796551,2.18485523,2.122528886,1.912868243,1.869541226,2.191582243,2.000683338,2.157274374,1.805543834,2.39077762,1.96254998,2.033945832,2.264856144,2.353967105,2.169523492,2.252964109,2.080425265,2.105933588,1.669938385,2.149385383,1.968539043
Sub-02,3,MT,2.794824805,2.000217297,2.21871321,3.090977457,3.401522876,1.954284585,3.140828283,2.467247788,2.862470732,2.691694311,1.487791848,1.923989033,1.630934014,2.336949097,1.925576515,2.338341689,1.653379707,1.80318723,1.413603016,1.826714282,2.136823752,2.05972203,2.087516339,2.111507457,2.018067645,1.997933306,2.190670875,1.97132459,1.982311609,2.067412478,1.977481014,2.604373721,2.094951077,2.186871764,1.969238509,2.065681286,1.636633605,2.434445292,1.805264437,2.165498083,2.072257361,1.974905015,1.718760942,1.781583761,2.004018274,1.865305799,2.218720995,2.12094655,2.182363393,2.332867604,2.122022019,2.082116081,2.128967956,1.872431026,1.884082792,1.775308246,1.850091059,1.577226731,1.730473753,1.742214506
Sub-03,3,MT,2.046217083,1.796194204,1.846988516,3.024127797,3.27424452,1.692116286,3.000078617,2.293176125,2.45915154,2.620504832,1.074965153,1.825129341,1.547683906,1.949517191,1.951879631,2.214823879,1.77808124,1.973513391,1.745031357,2.059103414,1.481524864,2.094772489,1.811415957,2.180048108,2.122129568,2.075802724,1.913153227,2.111187305,1.94254617,2.019032437,1.981190771,1.994050721,2.287942705,1.956132463,1.859896126,2.066178517,2.131015496,2.276144832,1.920301172,1.941412066,1.895037679,1.910867655,1.823979936,1.467850934,2.125510964,1.880882768,1.851728323,2.265251912,2.156744563,1.989401686,1.628432751,1.928953825,1.927545615,1.96493239,1.771861302,1.89120969,1.874369425,1.686702405,1.888836578,2.054286342
Sub-04,3,MT,2.121113474,1.983921438,2.258004052,3.354663717,3.569225211,1.851598905,3.06374051,2.336020448,2.710746276,2.957032251,2.120769095,2.126293561,1.814060196,2.216139558,2.39133672,2.341437044,2.017609496,2.131459294,1.988590515,1.913828369,2.202284442,2.201002468,2.334051696,2.687326948,2.322118195,2.340518684,2.264868759,2.331556415,2.279169291,2.445658928,2.662059361,2.347511332,2.464869856,2.235933746,2.243003957,2.325922397,2.804723584,2.469144413,2.184273069,2.32478047,2.390798687,2.382719071,2.260085511,2.008217717,1.975714501,2.328358221,2.127568779,1.793705284,2.605980593,2.310559587,2.151218185,2.410467029,2.197406806,2.412380833,2.530095358,2.329674277,1.957975415,1.884068939,2.185683227,1.968277372
Sub-05,3,MT,2.020229047,1.902966085,2.325207317,3.021869787,3.360579194,1.779327912,3.045540409,2.319479925,2.581593134,2.712820625,2.147943178,2.083455323,1.921323428,2.060155524,2.209917707,2.066905698,1.861594616,2.175823422,1.807298058,1.638403184,1.655219706,1.857144744,2.164492897,2.409889705,2.104539483,1.785404701,2.023384876,1.99856577,1.936504122,2.073005853,2.329659473,2.032085275,1.51395533,1.321806854,1.787842753,2.21312366,2.529628666,2.340642963,2.153006605,1.953420456,1.882135296,1.775828567,1.545854829,1.859961655,1.82599405,2.069943306,2.097337672,1.706763307,2.137602087,2.200946717,1.973872283,2.114211349,1.922030236,2.121188672,2.081537738,1.703815427,2.119292005,1.812352349,2.092474159,1.75829042
Sub-06,3,MT,2.004451117,1.779578636,2.311368465,3.150265602,3.427859984,1.83934938,3.085919779,2.356092275,2.711984264,2.918534599,1.636463038,1.981806914,1.788037695,1.927828508,2.164029191,2.496733044,1.953687015,2.332522458,1.797448015,1.943749561,1.428336065,2.067632371,2.277356919,2.21447274,2.227754941,1.527346018,1.522828103,2.255711728,2.128655817,2.100137827,2.147894032,2.195757222,2.689337103,2.337050493,2.143239552,2.095410342,2.236717967,1.55863395,2.11964801,2.094237979,2.459234662,2.246265375,1.794145091,2.005288162,2.441112082,2.199533371,1.744823778,2.066817962,2.15343855,2.472026137,1.916923415,2.13727485,2.38551408,1.950238565,2.585204585,2.012244484,1.939591283,1.678512341,2.002112,2.379245683
Sub-01,1,PD,79.59468425,80.04038631,80.35560137,70.53086632,71.96867437,80.46080946,74.69997894,78.48485262,77.13412457,72.10935284,77.85382888,81.3967258,81.19122084,74.20874961,75.19351074,78.29004628,79.77684398,78.89424544,77.56003036,79.09483473,80.29956957,82.87283869,83.07991247,75.59419921,80.86819192,78.98051851,78.11654381,81.21484426,78.65893352,77.97043542,75.21406127,80.36755533,79.6853432,79.45564156,78.87624807,76.34197172,76.61953513,78.34773234,78.00746661,76.55848561,79.03289487,78.76609312,80.84731875,81.6362747,78.56537292,78.77331093,77.47700056,80.10212397,77.71073509,79.20404147,83.85703242,78.28822194,78.86298364,75.61621138,78.28884564,78.94372064,75.4111683,75.06814047,78.17365801,79.87717202
Sub-02,1,PD,76.40716391,81.10043206,83.00985172,71.97358966,73.42197809,82.44916595,75.92127425,80.30743789,77.98972143,73.95227691,87.49933424,83.67622002,83.10226401,79.33205687,75.8767527,78.18587483,82.07222791,79.69111836,79.93908816,80.15626417,84.09871913,81.11433055,82.59069999,72.82132709,77.59484678,79.93183948,71.65263056,82.03638543,80.24723363,79.35288706,71.70483953,86.28909604,80.4008179,80.18912698,80.86667075,74.92440024,60.75172853,78.77587145,80.55091459,74.56922097,81.01947698,80.74373219,81.26298835,83.21365728,80.40916806,78.34972641,80.31597531,79.71379603,78.38162116,78.0778603,86.61670973,80.27427825,80.75072878,79.34473211,75.6203103,79.37972455,79.88961957,76.49458109,80.1348219,82.27302294
